SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Supermarket,,,,,,,,,,,,
Lipton Tea,Box, MYR 20.00 ,, MYR 0.40 ,,,,,,,,
Sweet Patotoes Powder ,,,,,,,,,,,,
BOA BLACK TEA ,BOX,5.3,,0.106,,,,,,,,
,,,,,,,,,,,,
HOJICHAYA,,,,,,,,,,,,
Kimidori Matcha ,Pkt , MYR 220.00 ,, MYR 0.44 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ONLINE ,,,,,,,,,,,,
Sweet Patato powder ,pkt, MYR 50.00 ,, MYR 0.10 ,,,,,,,,
Soursop ,kg, MYR 30.00 ,, MYR 0.03 ,,,,,,,,
Asam Boi ,kg , MYR 18.00 ,, MYR 0.02 ,,,,,,,,
COCNUT SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
SWEET & SOUR SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
BLUE GRENADINE SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
ELDER FLOWER SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
LEMON GRASS SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
COSMOPOLITAN SYRUP,BTL, MYR 21.00 ,, MYR 0.03 ,,,,,,,,
UGS,,,,,,,,,,,,
8oz Double wall Paper Cup white ,ctn, MYR 130.00 ,, MYR 0.26 ,,,,,,,,
12oz Double wall Paper cup White ,ctn,,,,,,,,,,,
16OZ Tall Double Wall Paper Cup White ,ctn, MYR 190.00 ,, MYR 0.38 ,,,,,,,,
12oz 95mm Cleare ICED cup ,ctn, MYR 250.00 ,, MYR 0.25 ,,,,,,,,
Paper Straw White wrapped ,ctn, MYR 130.00 ,, MYR 0.03 ,,,,,,,,
12oz/16oz ICED lids,ctn, MYR 110.00 ,, MYR 0.06 ,,,,,,,,
6oz Heavy Duty Single Wall Paper cup,ctn, MYR 152.00 ,, MYR 0.08 ,,,,,,,,
,,,,,,,,,,,,
Raft central Kitchen ,,,,,,,,,,,,
French Pasta Rigatoni Beetroot ,Kg, MYR 24.00 ,, MYR 0.02 ,,,,,,,,
French Pasta Fusili Original ,kg , MYR 24.00 ,, MYR 0.02 ,,,,,,,,
French Pasta-Fetacine Original ,kg, MYR 24.00 ,, MYR 0.02 ,,,,,,,,
French Pasta-Fetacine Beetroot ,kg , MYR 24.00 ,, MYR 0.02 ,,,,,,,,
French Pasta Fusili Beetroot ,kg, MYR 24.00 ,, MYR 0.02 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
House Of Ingredients,,,,,,,,,,,,
Brown Sugar,KG, MYR 5.90 ,,,,3kg,6kg,12kg,,,,
Castor Sugar,KG, MYR 5.50 ,,,,3kg,6kg,12kg,,,,
Cocoa Powder,KG, MYR 36.50 ,,,,3kg,6kg,3kg,,,,
Almond Meal,KG, MYR 39.90 ,,,,500 gram,1kg,1kg,,,,
