Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
Egg Salad Wrap,Flour Tortilla,1,pc,0.80,0.80,
,Egg,2,pc,0.53,1.06,
,Mayonnaise,15,gm,0.02,0.30,
,Salt,1,gm,0.01,0.01,
,Pepper,1,gm,0.08,0.08,
,Lettuce,1,leaf,0.30,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.05,
,,,,Sale,MYR 6.00,
,,,,COGS %,51%,
,,,,Profit,MYR 2.95,
,,,,,,
Chocolate Croissant,Chocolate Croissant,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Almond Croissant,Almond Croissant,1,pc,3.50,3.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.00,
,,,,Sale,MYR 7.00,
,,,,COGS %,57%,
,,,,Profit,MYR 3.00,
,,,,,,
Banana Walnut Muffin,Banana Walnut Muffin,1,pc,2.80,2.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.30,
,,,,Sale,MYR 6.50,
,,,,COGS %,51%,
,,,,Profit,MYR 3.20,
,,,,,,
Lemon Muffin,Lemon Muffin,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Chocolate Muffin,Chocolate Muffin,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Danish Pastry,Danish Pastry,1,pc,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.50,
,,,,COGS %,54%,
,,,,Profit,MYR 3.00,
,,,,,,
Plain Scone,Plain Scone,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Lemon Loaf Slice,Lemon Loaf,1,slice,2.80,2.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.30,
,,,,Sale,MYR 6.50,
,,,,COGS %,51%,
,,,,Profit,MYR 3.20,
,,,,,,
Carrot Cake Slice,Carrot Walnut Cake,1,slice,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 7.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.50,
,,,,,,
Chocolate Marble Slice,Chocolate Marble Cake,1,slice,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Apple Crumble Slice,Apple Crumble,1,slice,3.20,3.20,
